Sample	Total Reads	Total Passed QC	Mapped	Duplicates	Paired in Sequencing	Properly Paired	Self and mate mapped	Singletons	Mate mapped to diff chr	Diff chr (mapQ >= 5)
GRCg7b | M301474.lib1	100.0	100.0	1.4206508301548455	0.0	100.0	1.3396733258256017	1.3948334858890366	0.02581734426580884	0.0015929040808211421	0.0005504889102837771
GRCg7b | M301475.lib1	100.0	100.0	0.11128444104408652	0.0	100.0	0.07849527537931103	0.07849527537931103	0.032789165664775494	0.0	0.0
GRCg7b | M301476.lib1	100.0	100.0	0.023155960087379707	0.0	100.0	0.014637816734534485	0.015255309003531278	0.00790065108384843	1.9499755863056594e-05	3.249959310509432e-06
GRCg7b | M301477.lib1	100.0	100.0	0.027715834774563526	0.0	100.0	0.017136754214661615	0.01770639701404095	0.010009437760522575	0.0	0.0
GRCg7b | M301478.lib1	100.0	100.0	0.015973484135762554	0.0	100.0	0.00827038337496491	0.008407725481552776	0.007565758654209778	5.971395938602824e-06	2.985697969301412e-06
GRCg7b | M301479.lib1	100.0	100.0	0.05329749270056078	0.0	100.0	0.018538258330629838	0.018538258330629838	0.03475923436993095	0.0	0.0
GRCg7b | M301480.lib1	100.0	100.0	0.4449212832910804	0.0	100.0	0.41213899827695144	0.4281552480710208	0.01676603522005959	0.00038877762829123694	0.00011802178001698265
GRCg7b | M301481.lib1	100.0	100.0	0.03901321022498107	0.0	100.0	0.022900880115952905	0.02461198582757488	0.014401224397406188	6.984104945395823e-05	3.4920524726979116e-05
GRCg7b | M301482.lib1	100.0	100.0	0.025039167565134687	0.0	100.0	0.008883728720152738	0.009377269204605668	0.015661898360529017	6.409616681206882e-06	6.409616681206882e-06
GRCg7b | M301483.lib1	100.0	100.0	0.04510850353338727	0.0	100.0	0.026281045326054058	0.02890578480804153	0.016202718725345747	3.3650506179326574e-05	0.0
GRCg7b | M301484.lib1	100.0	100.0	0.015687557970774858	0.0	100.0	0.004603201210287826	0.0047992166464401916	0.010888341324334666	0.0	0.0
GRCg7b | M301485.lib1	100.0	100.0	0.03870304318602772	0.0	100.0	0.020101800045413083	0.022338479205395664	0.016364563980632057	7.078098607539817e-05	1.0617147911309725e-05
GRCg7b | M301486.lib1	100.0	100.0	0.015205104673166343	0.0	100.0	0.0013428421246682234	0.001459910412459812	0.013745194260706532	0.0	0.0
GRCg7b | M301487.lib1	100.0	100.0	0.05129959633944043	0.0	100.0	0.00969725523687893	0.010892177683129415	0.04040741865631102	5.252406357144986e-05	2.9544785758940546e-05
GRCg7b | M301488.lib1	100.0	100.0	0.05676188903566711	0.0	100.0	0.028896961690885074	0.0323370761778952	0.024424812857771906	0.0	0.0
GRCg7b | M301489.lib1	100.0	100.0	0.09245919654275679	0.0	100.0	0.07672419417787585	0.07874372362512466	0.013715472917632117	8.364914870261366e-05	5.3774452737394494e-05
GRCg7b | M301490.lib1	100.0	100.0	0.08657068765109376	0.0	100.0	0.06289852525782369	0.0704847429491124	0.016085944701981356	5.9991656796675676e-05	2.9995828398337838e-05
GRCg7b | M301491.lib1	100.0	100.0	0.02295705036387664	0.0	100.0	0.007223342295286292	0.007518926634735347	0.01543812372914129	1.2316014143710644e-05	9.237010607782983e-06
GRCg7b | M301492.lib1	100.0	100.0	0.7641174507617736	0.0	100.0	0.6437492815298197	0.7079233170498694	0.05619413371190435	0.0	0.0
GRCg7b | M301493.lib1	100.0	100.0	0.01636471340212715	0.0	100.0	0.0017007146360249427	0.0017380343929283115	0.01462667900919884	0.0	0.0
GRCg7b | M301494.lib1	100.0	100.0	0.09284510206118089	0.0	100.0	0.07509501443256848	0.08006470242086067	0.012780399640320234	6.170041520453043e-05	1.963195029235059e-05
GRCg7b | M301495.lib1	100.0	100.0	0.1876691084273741	0.0	100.0	0.12786246947799115	0.15162014122615983	0.036048967201214276	0.0	0.0
GRCg7b | M301496.lib1	100.0	100.0	0.036903832770716447	0.0	100.0	0.023884526844336458	0.024606589047534603	0.012297243723181844	1.6135468227891545e-05	0.0
GRCg7b | M301497.lib1	100.0	100.0	0.24048365693193813	0.0	100.0	0.21398903239507527	0.224467223850606	0.016016433081332108	0.00023177069577562875	8.62402588932572e-05
GRCg7b | M301498.lib1	100.0	100.0	0.14605033765813152	0.0	100.0	0.06508208028976387	0.06702941812520562	0.0790209195329259	0.0001024914650232502	0.0
GRCg7b | M301499.lib1	100.0	100.0	2.3151098499989886	0.0	100.0	2.1584867237812655	2.2739936819230486	0.04111616807593941	0.0035434601560325493	0.0009624212769471122
GRCg7b | M301500.lib1	100.0	100.0	0.11094771730394781	0.0	100.0	0.07538464744539371	0.0816364992167064	0.029311218087241422	0.0	0.0
GRCg7b | M301501.lib1	100.0	100.0	0.6461997805396307	0.0	100.0	0.5919186496889232	0.6199160558083812	0.02628372473124946	0.0002947095380995579	0.00013643960097201754
GRCg7b | M301502.lib1	100.0	100.0	0.10568574802678256	0.0	100.0	0.06667076501475809	0.07168882114244196	0.033996926884340584	0.00014521705835741114	8.067614353189507e-05
