Sample	Total Reads	Total Passed QC	Mapped	Duplicates	Paired in Sequencing	Properly Paired	Self and mate mapped	Singletons	Mate mapped to diff chr	Diff chr (mapQ >= 5)
REF0009-mgg-pbdrep | M301474.lib1	100.0	100.0	85.63512691271148	0.0	100.0	78.0887661313187	84.64033242239736	0.9947944903141224	1.7355323918288053	0.756854140961354
REF0009-mgg-pbdrep | M301475.lib1	100.0	100.0	7.698012163924309	0.0	100.0	7.137097978319945	7.517345039368512	0.18066712455579778	0.14632543972287754	0.06619484177939698
REF0009-mgg-pbdrep | M301476.lib1	100.0	100.0	85.9194676405419	0.0	100.0	81.0660609726671	84.95656165140045	0.962905989141437	1.2922169894592	0.6570842276312385
REF0009-mgg-pbdrep | M301477.lib1	100.0	100.0	85.56124448989078	0.0	100.0	77.41656120337652	84.4768688373176	1.084375652573189	2.006170263951989	0.9333823437423463
REF0009-mgg-pbdrep | M301478.lib1	100.0	100.0	86.40826600198425	0.0	100.0	80.57413675804855	85.4132433551171	0.9950226468671586	1.463125596186319	0.6891600261142301
REF0009-mgg-pbdrep | M301479.lib1	100.0	100.0	4.136411089200789	0.0	100.0	3.394037814638673	4.004175849669412	0.13223523953137686	0.18327340215752233	0.08351699338823802
REF0009-mgg-pbdrep | M301480.lib1	100.0	100.0	85.88240619768935	0.0	100.0	77.54043485354187	84.82185772346978	1.0605484742195745	2.1495132779379986	1.0309847499729194
REF0009-mgg-pbdrep | M301481.lib1	100.0	100.0	82.35053535246664	0.0	100.0	74.15388844916971	80.27653809271766	2.073997259748989	1.4525943982650014	0.6033276313488852
REF0009-mgg-pbdrep | M301482.lib1	100.0	100.0	85.74571457172266	0.0	100.0	75.44173704813322	84.5075804723999	1.2381340993227565	2.471715150536917	1.1140571256196874
REF0009-mgg-pbdrep | M301483.lib1	100.0	100.0	70.12232974040793	0.0	100.0	60.60238507299695	67.27012705247387	2.852202687934064	1.5606739921510022	0.6076499526800628
REF0009-mgg-pbdrep | M301484.lib1	100.0	100.0	85.7631302023037	0.0	100.0	77.33790691085983	84.52495369527898	1.2381765070247248	2.2516526466920217	1.128716909352551
REF0009-mgg-pbdrep | M301485.lib1	100.0	100.0	85.74063903991737	0.0	100.0	74.24540258109607	84.523665005137	1.2169740347803595	2.654542585450451	1.1180301772391166
REF0009-mgg-pbdrep | M301486.lib1	100.0	100.0	85.51806421675296	0.0	100.0	74.68706712191859	84.24112984847562	1.276934368277344	2.644842883253565	1.2167912675841328
REF0009-mgg-pbdrep | M301487.lib1	100.0	100.0	84.32752506378549	0.0	100.0	68.37041536338883	82.85360811569275	1.4739169480927385	3.5944012452310825	1.3946833954224573
REF0009-mgg-pbdrep | M301488.lib1	100.0	100.0	24.943510608983193	0.0	100.0	22.13213006337834	24.3772389087903	0.5662717001928906	0.6523835767429044	0.28520253513364563
REF0009-mgg-pbdrep | M301489.lib1	100.0	100.0	85.44972600245441	0.0	100.0	75.6079914973787	84.28730011865291	1.1624258838014967	2.2774767389805803	0.9964398144525899
REF0009-mgg-pbdrep | M301490.lib1	100.0	100.0	85.72599198911264	0.0	100.0	75.07735220310322	84.50260417718822	1.223387811924431	2.4389134623899857	1.0308767827860597
REF0009-mgg-pbdrep | M301491.lib1	100.0	100.0	84.85188277734093	0.0	100.0	74.78014636721602	83.69155228884911	1.1603304884918195	2.26510188574998	0.9182529111688499
REF0009-mgg-pbdrep | M301492.lib1	100.0	100.0	9.352187572816845	0.0	100.0	8.501517967398316	9.133469689618725	0.2187178831981215	0.14701263790877336	0.04981094354872298
REF0009-mgg-pbdrep | M301493.lib1	100.0	100.0	85.6193251526053	0.0	100.0	74.05258472580061	84.36839932855857	1.2509258240467365	2.6113904931824097	1.104106010646783
REF0009-mgg-pbdrep | M301494.lib1	100.0	100.0	85.14178566111995	0.0	100.0	74.40217792011684	83.84019863228045	1.3015870288394948	2.5103964845823965	1.08017477133967
REF0009-mgg-pbdrep | M301495.lib1	100.0	100.0	4.398001472425117	0.0	100.0	3.93534564766025	4.268543870823648	0.1294576016014691	0.08520212757157392	0.03507349717509451
REF0009-mgg-pbdrep | M301496.lib1	100.0	100.0	84.92227877221573	0.0	100.0	75.1710454669455	83.64852356729354	1.2737552049221863	2.2308449762105385	0.9778131987144008
REF0009-mgg-pbdrep | M301497.lib1	100.0	100.0	84.89343015847504	0.0	100.0	73.87336523536277	83.70813155874377	1.185298599731276	2.4823151910852155	1.0017842885117134
REF0009-mgg-pbdrep | M301498.lib1	100.0	100.0	6.176963318499029	0.0	100.0	5.556800312445399	6.072746333391574	0.1042169851074545	0.14173098862246522	0.0596112932567294
REF0009-mgg-pbdrep | M301499.lib1	100.0	100.0	85.419317527496	0.0	100.0	76.65957679533672	84.32547566797493	1.0938418595210802	1.8999667825050495	0.774713639822551
REF0009-mgg-pbdrep | M301500.lib1	100.0	100.0	25.430373862323947	0.0	100.0	22.06873633517589	24.61220954304102	0.8181643192829281	0.625313246798527	0.23575226445656672
