microsample	quality
M301474	5
M301475	1
M301476	5
M301477	5
M301478	5
M301479	2
M301480	5
M301481	3
M301482	5
M301483	2
M301484	5
M301485	4
M301486	4
M301487	3
M301488	1
M301489	5
M301490	5
M301491	3
M301492	1
M301493	3
M301494	3
M301495	1
M301496	4
M301497	3
M301498	2
M301499	4
M301500	1
M301501	2
M301502	2
M301503	3
M301504	3
M301505	4
M301506	3
M301507	2
M301508	2
M301509	4
M301510	2
M301511	2
M301512	1
M301513	3
M301514	2
M301515	2
M301516	2
M301517	2
M301518	2
M301519	2
M301520	2
M301521	2
M301522	5
M301523	5
M301524	5
M301525	1
M301526	5
M301527	5
M301528	5
M301529	1
M301530	5
M301531	5
M301532	5
M301533	1
M301534	1
M301535	4
M301536	5
M301537	5
M301538	4
M301539	1
M301540	4
M301541	4
M301542	4
M301543	2
M301544	4
M301545	5
M301546	1
M301547	4
M301548	3
M301549	4
M301550	1
M301551	3
M301552	1
M301553	4
M301554	2
M301555	2
M301556	4
M301557	3
M301558	2
M301559	2
M301560	4
M301561	2
M301562	2
M301563	2
M301564	3
M301565	2
M301566	3
M301567	2
M301568	2
M301569	2
